time,Efield
1.9725857173071122e-07,1237.9630158639472
1.9738234998387761e-07,1338.9742710773396
1.9750612823704403e-07,1458.1157515854422
1.9762990649021045e-07,1577.2572320935456
1.977846293066684e-07,1703.5213011102855
1.978774629965432e-07,1907.486335675789
1.9775368474337682e-07,1794.8199356300822
1.9800124124970963e-07,2053.1756460797196
1.981497751535093e-07,2307.6463082519185
1.980631303762928e-07,2175.5546668190213
1.9837257600920883e-07,2453.33561865585
1.9849635426237522e-07,2604.8525014759375
1.9862013251554164e-07,2747.9517796949094
1.98743910768708e-07,2937.0241291968996
1.9862013251554164e-07,2820.472680873755
1.9899146727504082e-07,3082.7134396008305
1.9911524552820727e-07,3211.567540802529
1.992390237813736e-07,3317.7588603858385
1.9936280203454002e-07,3434.310308708983
1.9948658028770644e-07,3556.041821402045
1.996103585408728e-07,3667.4132053552726
1.997341367940392e-07,3788.626711611343
2.001983052434132e-07,3898.5735778628423
2.006624736927872e-07,3984.692148012722
2.0140514321178564e-07,3940.661600868423
2.019621453510344e-07,3857.780570949742
2.0225921315863378e-07,3745.1141709040357
2.024572583637e-07,3634.778799824792
2.0258103661686644e-07,3513.9537983964656
2.0282859312319925e-07,3377.97710868613
2.0307614962953206e-07,3269.195756917862
2.0332370613586482e-07,3162.3569292883126
2.0357126264219766e-07,3057.4606257974824
2.037775597308083e-07,2934.434097011941
2.0394259740169686e-07,2791.334818792969
2.0398385681941895e-07,2644.350492296559
2.0412826478144644e-07,2571.8295911177133
2.041076350725854e-07,2455.2781427945683
2.0423141332575179e-07,2362.036984136053
2.043758212877792e-07,2276.5659220324137
2.0435519157891812e-07,2170.3746024491043
2.0456148866752885e-07,2047.3480736635622
2.0468526692069524e-07,1929.5016092479384
2.0480904517386166e-07,1798.7049839075207
2.0493282342702805e-07,1678.268487306938
2.0499471255361126e-07,1577.2572320935456
2.0505660168019445e-07,1463.2958159553607
2.0509786109791659e-07,1333.7942067074212
2.05242269059944e-07,1227.602887124112
2.052732136232356e-07,1109.108914662248
2.0536604731311044e-07,1010.0401835875754
2.0534541760424934e-07,898.6687996343479
2.0555171469286004e-07,774.3472547563268
2.0559297411058218e-07,655.2057742482242
2.056754929460264e-07,546.424422479956
2.0579927119919285e-07,437.64307071168764
2.0589210488906765e-07,313.0625226151702
2.0598493857894245e-07,201.950141880439
2.0596430887008138e-07,90.57875792721231
2.0608808712324778e-07,-15.6125616560975
2.062324950852752e-07,-108.8537203146131
2.0621186537641414e-07,-217.6350720828814
2.0641816246502484e-07,-326.4164238511498
2.0654194071819123e-07,-442.96787217429403
2.0666571897135765e-07,-586.7146584395063
2.0678949722452404e-07,-733.0514768896768
2.0685138635110725e-07,-839.2427964729858
2.0685138635110725e-07,-932.4839551315014
2.0691327547769044e-07,-1018.8183612967947
2.0703705373085683e-07,-1134.5064655582853
2.0707831314857897e-07,-1248.467881696471
2.0722272111060646e-07,-1371.494410482013
2.0737744392706444e-07,-1517.183720885944
2.0747027761693924e-07,-1616.2524519606168
2.0753216674352245e-07,-1699.133481879297
2.0769720441441096e-07,-1820.86499457236
2.0784161237643845e-07,-1932.883886571826
2.079963351928964e-07,-2092.17086594679
2.0806853917391014e-07,-2204.1897579462575
2.0827483626252086e-07,-2303.9059970671706
2.0852239276885367e-07,-2435.9976385000673
2.0876994927518646e-07,-2579.744424765279
2.0906701708278583e-07,-2708.7280275762246
2.0951261879418486e-07,-2823.2074501514026
2.1006962093343364e-07,-2909.973528347521
2.1083881436382486e-07,-2939.3888938766963
2.1139404824231414e-07,-2812.847321411569
2.1174062735118006e-07,-2698.238397227142
2.1198818385751284e-07,-2581.686948903998
2.1223574036384565e-07,-2435.9976385000673
2.1251424143347006e-07,-2305.8485212058886
2.1260707512334488e-07,-2183.469500466587
2.1285463162967764e-07,-2047.492810756252
2.1313313269930207e-07,-1917.3436934620731
2.1325691095246846e-07,-1800.792245138929
2.1347352289550966e-07,-1658.9879830124366
2.1372107940184247e-07,-1543.7315507817707
2.138448576550089e-07,-1419.4100059037496
2.139995804714669e-07,-1311.2761621817215
2.1409241416134167e-07,-1191.487173627379
2.1433997066767446e-07,-1069.755660934316
2.144637489208409e-07,-960.9743091660476
2.1471130542717366e-07,-777.0820240339757
2.1464941630059045e-07,-889.7484240796816
2.1495886193350645e-07,-603.0318612047463
2.148350836803401e-07,-707.1511550400888
2.1520641843983926e-07,-450.7379687291708
2.1545397494617207e-07,-345.84166523834
2.1570153145250488e-07,-233.1752651926342
2.158562542689629e-07,-104.96867203717471
2.1594908795883766e-07,12.8777923784486
2.1619664446517045e-07,126.83920851663541
2.163204227183369e-07,240.8006246548204
2.1656797922466968e-07,382.6048867813139
2.1656797922466968e-07,279.6511074292027
2.168155357310025e-07,501.0988592431769
2.1706309223733525e-07,605.9951627340076
2.1731064874366806e-07,695.3512731150848
2.176510389398757e-07,804.1326248833532
